ID|EventID|CompanyID|Booth|Date|Time|Hall|RoomNo|PresentCompany|Topic|Speaker|langID|OrderFull|OrderMob|InApplications
54|2423442|242344|10.2G21|2019.5.22|14:00-16:00|10.2|6|博禄私人有限公司|用於未來管道基礎設施的先進塑料解決方案|1. 陳會龍 先生 - 高級應用工程師 <br />2. 余新文 先生 - 高級應用工程師 <br />3. 方東宇 先生 - 市場經理|950|6|6|4,999
55|2432581|243258|10.2G07|2019.5.22|14:00-16:00|10.2|2|台橡股份有限公司|1. 台橡 SEBS 於醫療領域的應用 <br />2. 台橡新上海應用研究中心簡介|1. 黃羣翰 先生 - 主任化學師/ 技術服務組/ 研究發展處 <br />2. 施希弦 博士 - 資深經理/ 應用研究中心/ 研究發展處 <br />3. 丁晴 博士 - 資深協理/ 研究開發處 (英文講者)|950|2|2|5
56|2438041|243804|10.2P31|2019.5.21|14:00-16:00|10.2|6|亨斯邁特諾|熱澆註聚氨酯工業滾輪整體解決方案|葛晨 先生 - 技術及商務經理|950|6|6|1
57|2421812|242181|11.2A41|2019.5.22|14:00-16:00|11.2|9|巴斯夫 (中國) 有限公司|BASF Ultrason® (PESU, PPSU, PSU) 高性能塑料多樣化的市場的應用|BASF 特種聚合物部門 (Ultrason® 團隊)|950|9|9|1,2,3,5,6,999
58|2438361|243836|10.2A01|2019.5.21|14:00-16:00|10.2|9|畢克助劑 (上海) 有限公司|低煙無鹵阻燃料中氫氧化鋁和氫氧化鎂的協效劑|1. Jochen Wilms 先生 - 全球應用經理 <br />2. 凌盛 先生 - 技術服務經理|950|9|9|1,2,3,4
59|2447441|244744|10.2L67|2019.5.23|10:00-12:00|10.2|4|安迅思|1. 北美聚烯烴市場概述 <br />2. 北美 PE 貨源的流入對於亞洲市場的影響 <br />3. 2018 - 2019 年中國聚烯烴市場供需變化趨勢|-|950|4|4|1,2,3,4,5,6
60|2462221|246222|9.2B44|2019.5.23|10:00-12:00|9.2|12|K industries GmbH|Presentation of a New Technology for Transverse Direction of Biaxial Stretched Plastic Film|Wolfgang Pinegger 博士|950|12|12|2
61|2443181|244318|12.2D51|2019.5.21|10:00-12:00|12.2|5|邁圖 (上海) 貿易有限公司|更強光學效果, 更高阻燃效應, 更優表面性能 - 有機硅賦予塑料新可能|Dr. Roy U. Rojas Wahl - Application Development Engineer|950|5|5|1,2,3
62|2426141|242614|11.2A31|2019.5.22|14:00-16:00|11.2|5|杜邦中國集團有限公司|1. 杜邦 AHEAD (加速混動自動駕駛進程) 項目簡介 <br />2. 杜邦創新互聯科技解決方案 <br />3. 杜邦高性能 3D 打印解決方案|1. 劉洋 先生 - 亞太區汽車市場經理 <br />2. 張乃淳 先生 - 亞太區電子電氣市場經理 <br />3. 馮嘉 先生 - 亞太區工業和消費品應用開發經理|950|5|5|1,3,999
63|2423611|242361|5.1R41|2019.5.21|14:00-16:00|5.1|花城|沙迪克國際貿易 (深圳) 有限公司|1. 金屬 3D 打印機的成形革新應用和 V-LINE 注塑成形機的最新 <br />2. 先進成形案例介紹|1. 陳琦 先生 - 部長補佐 <br />2. 劉鵬德 先生 - 主任|950|0|0|1,3,5
64|2470511|247051||2019.5.22|10:00-12:00||2|李長榮化學工業股份有限公司|1. 因應環境友善趨勢與醫療照護應用的聚丙烯產品方案 <br />2. Globalene TPV 在車用密封材料上的解決方案 |1. 許綱哲 先生 - 工程師 <br />2. 林谷錫 先生 - 工程師 <br />3. 蕭宇呈 先生 - 工程師|950|2|2|1,2,4,5
65|2458854|245885||2019.5.22|14:00-16:00||10|沙特基礎工業公司|沙特基礎工業公司創新軟包裝解決方案: 增加包裝的完整性與功能性|1. 黃劍鋒 先生 - 高級技術工程師 <br />2. 路航 先生 - 高級技術工程師|950|10|10|2
66|2476362|247636||2019.5.23|10:00-12:00||10|美國奧世達彈性體|TPS 替代 TPV 在汽車行業的新應用|1. 俞弘強 先生 - 總經理 <br />2. 顔龍 先生 - 市場開發經理|950|10|10|1
67|2470512|247051||2019.5.22|10:00-12:00||1|李長榮化學工業股份有限公司|1. 熱可塑性彈性體於薄膜改質與彈性膜之應用 <br />2. 熱可塑性複合材料於發泡材之創新應用|利宇晏 先生 - 工程師|950|1|1|2,5,999
68|2435751|243575|10.2R41|2019.5.23|10:00-12:00|10.2|9|西布爾集團|西布爾橡膠 - 全新鹵化與普通丁基橡膠產能|1. 陳蓓蓓 女士 - 銷售經理 <br />2. 牛國臣 先生 - 技術經理|950|9|9|1,4,5
69|2459751|245975||2019.5.21|10:00-12:00||4|埃克森美孚化工|Oppera™ 改性劑用於增強塑膠製品的性能|-|950|4|4|2
70|2459752|245975||2019.5.21|14:00-16:00||4|埃克森美孚化工|可持續發展創新包裝解決方案|王熙芮 女士 - 北亞區聚乙烯應用開發工程師|950|4|4|2
71|2459753|245975||2019.5.22|10:00-12:00||4|埃克森美孚化工|針對軟包裝的新產品及解決方案|蔣國治 先生 - 聚乙烯技術資深工程師|950|4|4|2
72|2459754|245975||2019.5.22|14:00-16:00||4|埃克森美孚化工|埃克森美孚高性能聚乙烯為石化托盤提供一體化解決方案|1. 王馨迪 女士 - 客戶開發專員 <br />2. 喬橋 先生 - 客戶開發工程師|950|4|4|2
73|2459755|245975||2019.5.21|14:00-16:00||5|埃克森美孚化工|共同探索彈性體的奧秘|刑妍 女士 - 應用開發工程師|950|5|5|1,2,999
